"","Subtype","Provider","Name","Town","Council","Clients","Grades published","Setting","Staffing","Leadership","Care and play","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"1","Under 3s","Private","Sunflower Nursery 2","Clydebank","West Dunbartonshire","Children","15/08/2019",5,4,5,5,"09/07/2019","2002_8",0,0
"2","Under 3s","Private","University of Dundee Nursery","Dundee","Dundee City","Children","17/01/2024",4,4,4,3,"29/11/2023","2002_4",0,0
"3","Over 3s","Voluntary or Not for Profit","Glebelands Out Of School Care Club","Dundee","Dundee City","Children","22/06/2022",4,5,4,5,"06/05/2022","2002_4",0,0
"4","Over 3s","Voluntary or Not for Profit","Kids Fun House","Dundee","Dundee City","Children","31/03/2023",4,5,4,5,"06/02/2023","2002_4",0,0
"5","Under 3s","Private","Kiddycare Day Nursery","Dundee","Dundee City","Children","20/05/2024",3,4,4,3,"11/04/2024","2002_4",0,0
"6","Over 3s","Voluntary or Not for Profit","Happy Hours Out Of School Club","Dundee","Dundee City","Children","05/06/2023",3,4,3,3,"02/05/2023","2002_4",0,0
"7","Over 3s","Voluntary or Not for Profit","Lochee Out Of School Club","Dundee","Dundee City","Children","24/11/2023",4,3,2,3,"30/10/2023","2002_4",0,0
"8","Over 3s","Voluntary or Not for Profit","Menzieshill Out of School Care Club","Dundee","Dundee City","Children","01/06/2023",5,5,4,5,"22/05/2023","2002_4",0,0
"9","Under 3s","Private","Nursery Rhymes","Dundee","Dundee City","Children","04/10/2019",4,5,4,5,"29/08/2019","2002_4",0,0
"10","Under 3s","Health Board","Little Acorns Day Nursery","Aberdeen","Aberdeen City","Children","21/10/2021",5,5,5,5,"25/08/2021","2002_4",1,0
"11","Under 3s","Voluntary or Not for Profit","Milltimber Playgroup","Aberdeen","Aberdeen City","Children","05/02/2020",4,4,4,4,"13/01/2020","2002_4",0,0
"12","Under 3s","Private","Abacus Pre-school Nursery - King Street","Aberdeen","Aberdeen City","Children","18/10/2021",5,5,5,5,"02/09/2021","2002_4",0,0
"13","Under 3s","Voluntary or Not for Profit","Peterculter Playgroup","Peterculter","Aberdeen City","Children","01/03/2024",4,4,4,4,"25/01/2024","2002_4",0,0
"14","Under 3s","Voluntary or Not for Profit","Midstocket Playgroup","Aberdeen","Aberdeen City","Children","05/02/2020",4,4,5,5,"23/05/2024","2002_4",0,0
"15","Under 3s","Voluntary or Not for Profit","St. Devenicks Playgroup","Aberdeen","Aberdeen City","Children","22/04/2024",4,5,5,4,"14/03/2024","2002_4",0,0
"16","Under 3s","Private","Step By Step Pre-school Nursery","Aberdeen","Aberdeen City","Children","19/08/2019",5,4,5,5,"07/08/2019","2002_4",0,0
"17","Under 3s","Health Board","Woodend Nursery","Aberdeen","Aberdeen City","Children","20/12/2023",5,5,5,5,"14/12/2023","2002_4",0,0
"18","Over 3s","Local Authority","Cults Out of School Care","Aberdeen","Aberdeen City","Children","18/09/2019",4,4,4,5,"23/08/2019","2002_4",0,0
"19","Over 3s","Voluntary or Not for Profit","Dyce Out Of School Club","Aberdeen","Aberdeen City","Children","09/08/2017",4,4,4,4,"20/06/2017","2002_4",0,0
"20","Over 3s","Local Authority","Culter Out of School Care","Peterculter","Aberdeen City","Children","09/01/2024",5,5,4,5,"07/12/2023","2002_4",0,0
"21","Over 3s","Local Authority","Cornhill Out of School Care","Aberdeen","Aberdeen City","Children","19/05/2023",4,4,4,4,"30/03/2023","2002_4",0,0
"22","Over 3s","Local Authority","Ferryhill Out of School Care","Aberdeen","Aberdeen City","Children","18/10/2017",4,4,4,4,"21/09/2017","2002_4",0,0
"23","Over 3s","Voluntary or Not for Profit","First Class Out Of School Scheme","Aberdeen","Aberdeen City","Children","23/04/2024",4,5,4,4,"21/03/2024","2002_4",0,0
"24","Over 3s","Local Authority","Kirkhill Out of School Care","Aberdeen","Aberdeen City","Children","04/09/2020",4,4,4,4,"10/03/2020","2002_4",0,0
"25","Over 3s","Local Authority","Mile End Out Of School Care","Aberdeen","Aberdeen City","Children","26/05/2017",5,5,5,5,"12/05/2017","2002_4",0,0
"26","Over 3s","Voluntary or Not for Profit","Woodside Partnership Out Of School Care Service","Aberdeen","Aberdeen City","Children","25/11/2019",4,4,4,4,"30/09/2019","2002_4",0,0
"27","Under 3s","Voluntary or Not for Profit","Fersands Family Centre Nursery & Creche","Aberdeen","Aberdeen City","Children","23/03/2020",5,4,4,5,"14/02/2020","2002_4",0,0
"28","Over 3s","Voluntary or Not for Profit","Autism & Neurodiversity North Scotland - Aberdeen Playscheme","Aberdeen","Aberdeen City","Children","16/08/2023",4,5,5,5,"20/07/2023","2002_4",0,0
"29","Under 3s","Voluntary or Not for Profit","Auchenblae Pre-school Group","Laurencekirk","Aberdeenshire","Children","05/10/2022",5,5,4,5,"12/09/2022","2002_4",0,0
"30","Over 3s","Local Authority","Banchory Out of School Clubs (BOSCATS)","Banchory","Aberdeenshire","Children","08/12/2022",4,4,4,4,"03/11/2022","2002_4",0,0
"31","Over 3s","Local Authority","Bervie Out Of School Team","Montrose","Aberdeenshire","Children","27/02/2024",4,5,4,4,"09/02/2024","2002_4",0,0
"32","Under 3s","Voluntary or Not for Profit","Bourtree Pre-school","Aberdeen","Aberdeenshire","Children","17/01/2024",4,5,4,4,"07/12/2023","2002_4",0,0
"33","Under 3s","Voluntary or Not for Profit","Glenbervie Pre-School","Stonehaven","Aberdeenshire","Children","28/11/2017",4,5,4,5,"30/10/2017","2002_4",0,0
