"","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","first_reqs_2425","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Private","Balcarres","Dundee","DD5 1NW","HC-One No. 1 Limited","2017_10","Dundee City","Same","22/12/2023",6,5,5,5,6,NA,NA,NA,"Inspected but no requirements",NA,"11/12/2023",NA,5.4,0,0
"2","Private","Harestane Nursing Home","Dundee","DD3 0NY","Priority Care Group Limited","2002_3","Dundee City","Same","16/10/2023",5,5,5,5,6,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"11/10/2023",NA,5.2,0,0
"3","Private","Ballumbie Court","Dundee","DD4 0PD","HC-One Limited","2011_10","Dundee City","Improve","23/05/2024",5,5,5,5,5,NA,NA,"Yes","Yes","Inspected but no requirements","08/05/2024",NA,5,2,0
"4","Private","Orchar Nursing Home","Dundee","DD5 2BG","Orchar Care Ltd","2009_9","Dundee City","Same","02/08/2023",5,5,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"26/07/2023",NA,4.8,1,0
"5","Private","Pitkerro Care Centre","Dundee","DD4 8ER","Pitkerro Opco Ltd","2011_11","Dundee City","Same","28/02/2024",5,5,4,5,4,NA,NA,"Yes","Inspected but no requirements",NA,"14/02/2024",NA,4.6,0,0
"6","Local Authority","Janet Brougham House","Dundee","DD4 7BS","Dundee City Council","2002_4","Dundee City","Same","18/04/2024",4,4,6,5,3,NA,NA,"Yes","Yes",NA,"19/03/2024",NA,4.4,0,0
"7","Local Authority","Turriff House","Dundee","DD3 8RB","Dundee City Council","2002_4","Dundee City","Same","08/03/2024",4,4,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"25/01/2024",NA,4.4,0,0
"8","Local Authority","Menzieshill House","Dundee","DD2 4GD","Dundee City Council","2002_4","Dundee City","Same","20/03/2024",3,5,5,5,3,NA,NA,"Inspected but no requirements","Yes",NA,"09/02/2024",NA,4.2,0,0
"9","Private","Moyness Nursing Home","Dundee","DD5 1JP","Balhousie Care Limited","2010_10","Dundee City","Same","21/06/2023",4,4,4,4,5,NA,NA,NA,"Inspected but no requirements",NA,"25/04/2023",NA,4.2,0,0
"10","Private","Forebank","Dundee","DD1 2PB","Forebank Limited t/a Forebank Care Home","2002_4","Dundee City","Same","25/10/2023",4,5,4,4,4,NA,NA,"Inspected but no requirements","Yes",NA,"02/10/2023",NA,4.2,1,0
"11","Private","Bridge View House Nursing Home","Dundee","DD1 4LQ","Tayside Care Limited","2002_4","Dundee City","Same","30/08/2023",4,4,4,4,4,NA,NA,"Inspected but no requirements","Yes",NA,"28/08/2023",NA,4,0,0
"12","Private","Redwood House","Dundee","DD5 3AL","Redwood House (Broughty Ferry) Limited","2023_12","Dundee City","Same","19/03/2024",4,4,3,4,5,NA,NA,NA,"Inspected but no requirements",NA,"04/03/2024",NA,4,0,0
"13","Private","Balhousie Clement Park","Dundee","DD2 3JN","Balhousie Care Limited","2010_11","Dundee City","Same","23/04/2024",4,4,4,4,4,NA,NA,"Yes",NA,"Inspected but no requirements","10/04/2024",NA,4,3,0
"14","Private","Benvie Care Home","Dundee","DD2 2PE","Duncare Limited t/a Benvie Care Home","2002_4","Dundee City","Same","06/05/2024",3,4,4,4,3,NA,NA,NA,"Yes",NA,"05/03/2024",NA,3.6,1,0
"15","Private","Riverside View","Dundee","DD2 5JB","HC-One Limited","2011_10","Dundee City","Same","13/11/2023",3,4,3,4,4,NA,NA,"Yes","Yes",NA,"25/10/2023",NA,3.6,2,0
"16","Private","Lochleven Care Home","Dundee","DD5 3UP","Thistle Healthcare Limited","2006_5","Dundee City","Same","16/05/2024",4,3,5,3,3,NA,NA,"Inspected but no requirements","Yes","Yes","09/05/2024","1. By 7 June 2024, the provider must ensure any restriction to people's right to freedom of movement is fully assessed and agreed prior to implementation. To do this, the provider must, at a minimum:?   a) ensure that the consideration of lap straps and/or sensor beams is based on a thorough and individual risk assessment with appropriate records to reflect decisions made. This should involve the person and/or their representatives and other professionals as appropriate  b) ensure that the use of forms of restraint is regularly reviewed and reflects any changes to the person's health and wellbeing.?  This is to comply with: Regulation 4(1)(a) of The Social Care and Social Work Improvement Scotland (Requirements for Care Services) Regulations 2011 (SSI 2011/210). This is to ensure care and support is consistent with Health and Social Care Standard 4.11: ""I experience high quality care and support based on relevant evidence, guidance, and best practice"".",3.6,7,0
"17","Private","The Bughties","Dundee","DD5 2LX","Enhance Healthcare Ltd","2014_6","Dundee City","Same","26/02/2024",4,3,3,3,4,NA,NA,NA,"Yes",NA,"01/02/2024",NA,3.4,1,0
"18","Private","Carmichael House","Dundee","DD3 6HG","Carmichael House (Dundee) Limited","2023_12","Dundee City","Same","29/02/2024",3,3,3,4,3,NA,NA,NA,"Yes",NA,"08/02/2024",NA,3.2,0,0
"19","Private","St. Columba's Care Home","Dundee","DD2 2QF","Priority Care Group Limited","2011_11","Dundee City","Same","18/03/2024",3,4,3,3,3,NA,NA,"Yes","Yes",NA,"22/02/2024",NA,3.2,1,0
"20","Private","Balhousie St Ronans","Dundee","DD4 6JU","Balhousie Care Limited","2012_10","Dundee City","Same","26/03/2024",2,3,3,2,3,2,NA,"Yes","Yes",NA,"05/03/2024",NA,2.6,9,1
