"","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","first_reqs_2425","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Local Authority","Calaiswood School Nursery","Dunfermline","KY11 8LW","Fife Council","2009_2","Fife","Same","13/12/2018",NA,NA,6,6,6,6,NA,NA,NA,NA,NA,"04/10/2018",NA,6,0,0
"2","Local Authority","Lynburn Primary School Nursery","Dunfermline","KY11 4LU","Fife Council","2002_4","Fife","Same","09/12/2019",NA,NA,5,5,6,6,NA,NA,NA,NA,NA,"30/10/2019",NA,5.5,0,0
"3","Private","Busy Bees @ Castle View","Dunfermline","KY11 8PF","Busy Bees Nurseries (Scotland) Limited","2002_6","Fife","Same","26/10/2021",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"21/09/2021",NA,5,0,0
"4","Local Authority","Beanstalk Family Nurture Centre","Dunfermline","KY11 4PZ","Fife Council","2002_4","Fife","Same","19/04/2023",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"23/03/2023",NA,5,0,0
"5","Local Authority","Torryburn Primary School Nursery","Dunfermline","KY12 8SU","Fife Council","2002_4","Fife","Same","08/12/2022",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"23/11/2022",NA,5,0,0
"6","Local Authority","Inzievar Primary School Nursery","Dunfermline","KY12 9RJ","Fife Council","2002_4","Fife","Same","01/12/2022",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"04/11/2022",NA,5,0,0
"7","Local Authority","Crossgates Primary School Nursery","Dunfermline","KY4 8AR","Fife Council","2002_4","Fife","Same","16/05/2023",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"29/03/2023",NA,5,0,0
"8","Private","Busy Bees @ Halbeath","Dunfermline","KY11 8JH","Busy Bees Nurseries (Scotland) Limited","2003_9","Fife","Same","04/06/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"30/04/2018",NA,5,0,0
"9","Local Authority","Halbeath Nursery","Dunfermline","KY11 8EB","Fife Council","2021_8","Fife","Same","20/02/2023",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"01/02/2023",NA,5,0,0
"10","Voluntary or Not for Profit","Pitcorthie Playgroup","Dunfermline","KY11 8AB","Pitcorthie Playgroup Management Committee","2002_4","Fife","Same","03/07/2019",NA,NA,5,4,5,5,NA,NA,NA,NA,NA,"28/05/2019",NA,4.75,0,0
"11","Private","Little Bugs at Fordell Firs","Dunfermline","KY11 7HQ","Little Bugs Ltd","2021_6","Fife","Same","17/07/2023",NA,NA,5,5,5,4,NA,NA,NA,"Inspected but no requirements",NA,"14/06/2023",NA,4.75,0,0
"12","Private","Building Blocks Dunfermline Nursery","Dunfermline","KY11 2US","Building Blocks Flexible Child Care Limited","2003_12","Fife","Same","10/01/2022",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,"17/11/2021",NA,4.5,0,0
"13","Private","Lauriston Nursery","Dunfermline","KY12 0BL","Lauriston Nursery Ltd","2009_2","Fife","Same","18/10/2022",NA,NA,4,5,5,4,NA,NA,"Inspected but no requirements",NA,NA,"19/07/2022",NA,4.5,0,0
"14","Private","Bright Starts Day Nursery","Dunfermline","KY11 4UF","Bright Starts Nursery (Scotland) Ltd","2013_5","Fife","Same","21/01/2019",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,"07/11/2018",NA,4.5,0,0
"15","Private","Bumble Beez Children's Nursery","Dunfermline","KY12 7QN","Bumble Beez Children's Nursery","2002_4","Fife","Same","27/04/2022",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,"17/03/2022",NA,4.25,0,0
"16","Voluntary or Not for Profit","Pitreavie Playgroup","Dunfermline","KY11 8PP","Pitreavie Playgroup","2002_4","Fife","Same","30/04/2019",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,"09/04/2019",NA,4.25,0,0
"17","Private","Appin Nursery & Creche","Dunfermline","KY12 7QX","Appin Nursery & Creche Limited","2012_9","Fife","Same","08/06/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"07/05/2021",NA,4,0,0
"18","Voluntary or Not for Profit","Crossford Playgroup","Dunfermline","KY12 8NJ","Crossford Playgroup","2002_4","Fife","Same","14/11/2023",NA,NA,4,4,4,3,NA,NA,"Yes","Inspected but no requirements",NA,"20/09/2023",NA,3.75,0,0
"19","Private","Rainbow Nursery Dalgety Bay","Dunfermline","KY11 9JS","Rainbow Nursery Ltd","2002_4","Fife","Same","06/09/2023",NA,NA,3,4,3,4,NA,NA,"Yes","Inspected but no requirements",NA,"09/08/2023",NA,3.5,2,0
