"Provider","Name","Town","Council","Clients","Grades published","Wellbeing support","Care and support","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Voluntary or Not for Profit","PEACE Sitter Service","Kilmarnock","East Ayrshire","Children","05/02/2019",4,4,5,4,"23/01/2019","2004_1",0,0
"Private","Thank Evans Childcare Agency Limited","Aberdeen","Aberdeen City","Children","22/01/2024",4,5,5,4,"12/12/2023","2004_7",0,0
"Private","Butterfly Personnel Ltd.","Edinburgh","City of Edinburgh","Children","25/01/2024",4,5,5,4,"19/12/2023","2004_4",0,0
"Private","Super Mums Ltd","Edinburgh","City of Edinburgh","Children","08/01/2024",4,4,4,4,"12/12/2023","2004_3",0,0
"Voluntary or Not for Profit","Barnardo's Dundee Childsitting Service","Dundee","Dundee City","Children","14/05/2019",5,5,5,5,"06/03/2019","2004_6",0,0
"Private","Sitters","Poole","outside Scotland","Children","21/05/2018",4,4,4,4,"09/03/2018","2005_5",0,0
"Private","Diamond Childcare Agency","Clydebank","West Dunbartonshire","Children","24/09/2019",5,5,5,5,"30/08/2019","2004_4",0,0
"Local Authority","Family Focus Service (Aurrida House)","Kirkwall","Orkney Islands","Children","23/09/2020",5,5,5,5,"09/01/2020","2005_4",0,0
"Private","Tinies Glasgow","Glasgow","East Renfrewshire","Children","07/08/2019",5,5,4,4,"24/06/2019","2011_6",0,0
"Private","Greycoat Lumleys Scotland","Edinburgh","City of Edinburgh","Children","13/12/2023",3,4,4,3,"08/11/2023","2013_11",0,0
"Private","TrioCare","Edinburgh","City of Edinburgh","Children","23/01/2024",4,4,4,4,"13/12/2023","2017_3",0,0
"Private","British Nannies","Camberley","outside Scotland","Children","08/01/2024",5,5,5,5,"04/12/2023","2017_9",0,0
"Private","Lothian Childcare Solutions Ltd","Prestonpans","East Lothian","Children","08/07/2019",4,4,4,4,"06/06/2019","2018_1",0,0
"Private","Giggles and More Childcare Services","Broxburn","West Lothian","Children",NA,NA,NA,NA,NA,NA,"2024_6",0,0
